"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
30,156.148,-41.8618,202.735,-0.125279,0.0132729,0.0688681,0.000497717,0.000715003,0.00169764,0.00334323,154.847,-42.2178,141.57,-0.0865582,0.0286045,0.0469059,0.000413414,0.000615775,0.00150074,0.00262922,153.606,-39.1175,83.7712,-0.0544085,0.0246445,0.0370524,0.000311188,0.000468998,0.00118729,0.001775,151.666,-40.5709,24.6659,-0.0194697,0.0315948,0.0505896,0.000323443,0.000524382,0.00129625,0.00177505,4.34404,-12.4706,0.00698889,-0.00181452,-0.00350658,-0.00835275,0.000969651,0.00102083,0.00240718,0.00332802
31,156.148,-41.8618,202.735,0.0159804,-0.0152177,-0.0465633,0.00050276,0.000726081,0.00172367,0.0033956,154.847,-42.2178,141.57,0.0114773,0.00746005,-0.0645982,0.000407432,0.000605595,0.00147573,0.00259195,153.606,-39.1175,83.7712,0.00269892,0.0048088,-0.0759234,0.000315899,0.000474988,0.00120273,0.0018016,151.666,-40.5709,24.6659,-0.00592428,0.0164823,-0.0595494,0.000318036,0.000515612,0.00127336,0.00175205,4.34404,-12.4706,0.00698889,-0.0036724,-0.00769146,-0.0135107,0.00100785,0.00101771,0.00239542,0.00331593
32,156.148,-41.8618,202.735,-0.122448,-0.0314702,0.0672601,0.000492076,0.000708862,0.00168287,0.00330992,154.847,-42.2178,141.57,-0.084617,-0.00696109,0.0381759,0.000420029,0.000623547,0.0015203,0.00266938,153.606,-39.1175,83.7712,-0.0534938,-0.00114687,0.027613,0.000367913,0.000552149,0.00139782,0.00209646,151.666,-40.5709,24.6659,-0.0218762,0.0180229,0.0409627,0.00034929,0.000567215,0.00139971,0.00192881,4.34404,-12.4706,0.00698889,-0.00133956,-0.000879539,-0.00458153,0.000990373,0.00101145,0.00237895,0.00328765
33,156.148,-41.8618,202.735,-0.0103252,0.0522432,0.000455537,0.000506681,0.00072948,0.00173001,0.00341788,154.847,-42.2178,141.57,-0.00558106,0.0566772,-0.0298985,0.000418009,0.000617934,0.00150696,0.00264261,153.606,-39.1175,83.7712,-0.00575434,0.0401304,-0.0453754,0.000366651,0.000554403,0.00140328,0.0020902,151.666,-40.5709,24.6659,-0.00593632,0.0423556,-0.0273362,0.000332236,0.000537711,0.00132748,0.00183085,4.34404,-12.4706,0.00698889,-0.00273126,-0.00617161,-0.00905155,0.00097242,0.000989049,0.00232696,0.00322209
34,156.148,-41.8618,202.735,-0.216969,-0.00948381,0.147525,0.000502769,0.000719845,0.00170931,0.00335846,154.847,-42.2178,141.57,-0.149183,0.014986,0.114229,0.000419413,0.000621581,0.00151486,0.00266287,153.606,-39.1175,83.7712,-0.089733,0.0190581,0.101825,0.000324114,0.000490716,0.00124277,0.00184657,151.666,-40.5709,24.6659,-0.0294085,0.0361265,0.110656,0.000308584,0.000498988,0.00123253,0.00169265,4.34404,-12.4706,0.00698889,-0.000329714,-0.00207096,-0.00767299,0.000958189,0.000990363,0.00233268,0.00323339
35,156.148,-41.8618,202.735,-0.0989586,0.0674889,0.0656605,0.000499184,0.000721481,0.00171373,0.00336603,154.847,-42.2178,141.57,-0.0653269,0.0723598,0.0342718,0.000411758,0.000610184,0.00148689,0.0026149,153.606,-39.1175,83.7712,-0.0392414,0.0551333,0.0210774,0.000322729,0.000488107,0.00123614,0.00184161,151.666,-40.5709,24.6659,-0.0129521,0.0512042,0.0305496,0.000294542,0.000476113,0.00117581,0.0016155,4.34404,-12.4706,0.00698889,-0.00314112,-0.0106001,-0.0176831,0.000997973,0.00102911,0.00242457,0.00334926
36,156.148,-41.8618,202.735,-0.00378851,-0.0233476,-0.00355263,0.000488222,0.000703732,0.0016716,0.00327625,154.847,-42.2178,141.57,-0.000455298,0.00339963,-0.038077,0.000405821,0.000602079,0.00146691,0.00257985,153.606,-39.1175,83.7712,-0.00137694,0.00472684,-0.0509712,0.000329972,0.000502027,0.00127147,0.00187624,151.666,-40.5709,24.6659,-0.00360468,0.0215126,-0.0437187,0.000309544,0.000501153,0.00123576,0.00170603,4.34404,-12.4706,0.00698889,-0.00238059,-0.00415153,-0.00699925,0.000977341,0.00101471,0.00239211,0.00330074
37,156.148,-41.8618,202.735,-0.28443,0.0362445,0.20481,0.000497309,0.000717789,0.00170313,0.00335149,154.847,-42.2178,141.57,-0.193037,0.0567958,0.172339,0.000402065,0.000599057,0.0014598,0.00255811,153.606,-39.1175,83.7712,-0.112396,0.0463871,0.154143,0.000322522,0.000491108,0.00124348,0.00183362,151.666,-40.5709,24.6659,-0.0298724,0.053371,0.155703,0.000311572,0.00050516,0.00124827,0.00171274,4.34404,-12.4706,0.00698889,-0.0033647,-0.0101116,-0.0209263,0.000962427,0.00100844,0.00237842,0.00328095
38,156.148,-41.8618,202.735,-0.0983876,-0.105879,0.0614037,0.000497891,0.000718682,0.00170634,0.00335623,154.847,-42.2178,141.57,-0.0636639,-0.0562786,0.023957,0.000403404,0.000602337,0.00146884,0.00256438,153.606,-39.1175,83.7712,-0.0368636,-0.0343609,0.0121166,0.000313671,0.000474815,0.00120186,0.0017906,151.666,-40.5709,24.6659,-0.0105549,0.00743399,0.0156574,0.000307285,0.000498248,0.00123002,0.00169268,4.34404,-12.4706,0.00698889,-0.00213342,-0.00193372,-0.0071825,0.000965894,0.00101894,0.00240396,0.00331824
39,156.148,-41.8618,202.735,-0.0404434,-0.165272,0.0115745,0.000500085,0.000712035,0.00169152,0.00332262,154.847,-42.2178,141.57,-0.0229146,-0.0980916,-0.0255313,0.00041268,0.000613513,0.00149481,0.00262013,153.606,-39.1175,83.7712,-0.0111524,-0.0603984,-0.0331189,0.00031727,0.000477755,0.00121039,0.00180693,151.666,-40.5709,24.6659,-0.00125443,-0.00542486,-0.0347247,0.000324256,0.000524033,0.00129376,0.00178226,4.34404,-12.4706,0.00698889,-0.00265804,-0.00363338,-0.00939217,0.000961119,0.000995551,0.00234558,0.00325208
40,156.148,-41.8618,202.735,-0.173759,-0.057206,0.133386,0.000527242,0.000760264,0.00180444,0.00353941,154.847,-42.2178,141.57,-0.113163,-0.018334,0.0917197,0.000417144,0.000620641,0.00151126,0.00265983,153.606,-39.1175,83.7712,-0.0620922,-0.00593939,0.0796466,0.000330101,0.000495475,0.00125515,0.00187534,151.666,-40.5709,24.6659,-0.0101985,0.0253855,0.0768137,0.000332116,0.000537899,0.00132778,0.00183068,4.34404,-12.4706,0.00698889,-0.00187519,-0.00435705,-0.0108384,0.00094673,0.000988108,0.00232925,0.00322444
