"R0",,,,,,,,,,,"R1",,,,,,,,,,"R2",,,,,,,,,,"R3",,,,,,,,,,"R4",,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","sigma [pixel]"
30,158.862,-30.2095,207.209,0.153378,0.044796,0.0513342,0.000490315,0.000718389,0.00167558,0.00333797,154.748,-29.098,146.588,0.136142,-0.0712928,0.252659,0.000443921,0.000649324,0.00158192,0.00278734,154.12,-25.9317,88.9173,0.0376099,-0.173044,0.137418,0.000441585,0.000644133,0.0016196,0.00247652,153.826,-29.4699,32.1244,-0.00222358,0.000557054,0.104899,0.000380767,0.000607446,0.00148777,0.00208313,4.55931,-16.8579,0.00151202,-0.000643779,0.00228439,0.00392224,0.000921371,0.000984526,0.00232982,0.00315628
31,158.862,-30.2095,207.209,0.291625,-0.0171343,-0.0253046,0.000493944,0.000721626,0.00168414,0.00336403,154.748,-29.098,146.588,0.233007,-0.118374,0.190325,0.000445425,0.000652382,0.0015884,0.00281051,154.12,-25.9317,88.9173,0.10321,-0.209856,0.0767171,0.000422865,0.000615833,0.00154862,0.00236556,153.826,-29.4699,32.1244,0.0295604,-0.0176401,0.0461409,0.000392212,0.00062495,0.00153079,0.00214834,4.55931,-16.8579,0.00151202,-0.000152278,0.00637406,0.0106727,0.000954536,0.000996107,0.00235578,0.0031922
32,158.862,-30.2095,207.209,0.189825,-0.0067582,0.067972,0.000475531,0.000697959,0.0016259,0.0032486,154.748,-29.098,146.588,0.160083,-0.117591,0.286463,0.000444223,0.00064816,0.00157727,0.00280501,154.12,-25.9317,88.9173,0.0659139,-0.21069,0.180104,0.000412913,0.000602674,0.00151546,0.00231846,153.826,-29.4699,32.1244,0.0242189,-0.0189147,0.147866,0.000397252,0.000633942,0.00155246,0.00217888,4.55931,-16.8579,0.00151202,-0.00028222,0.00228086,0.00299808,0.000950078,0.00099299,0.00234801,0.00318626
33,158.862,-30.2095,207.209,0.253718,0.00624418,0.0529495,0.000493284,0.000725889,0.001691,0.00338109,154.748,-29.098,146.588,0.205758,-0.111108,0.279376,0.000443988,0.000646866,0.00157501,0.00279668,154.12,-25.9317,88.9173,0.0992727,-0.210671,0.174238,0.000406253,0.000595468,0.0014971,0.00229438,153.826,-29.4699,32.1244,0.0454893,-0.0148273,0.150662,0.000416871,0.000664625,0.00162677,0.00228052,4.55931,-16.8579,0.00151202,0.000553994,0.00726129,0.0128889,0.00094688,0.000994712,0.00235219,0.00318961
34,158.862,-30.2095,207.209,0.300628,0.000588683,0.0261824,0.000494704,0.000723094,0.00168383,0.00336737,154.748,-29.098,146.588,0.238528,-0.123154,0.262456,0.000446223,0.000653062,0.00158984,0.00281823,154.12,-25.9317,88.9173,0.122473,-0.225824,0.155735,0.000392361,0.000578344,0.00145258,0.00222526,153.826,-29.4699,32.1244,0.0598128,-0.0283137,0.138012,0.000407662,0.000646946,0.00158336,0.00221415,4.55931,-16.8579,0.00151202,-0.00166009,0.000374845,0.00255076,0.000934911,0.00100249,0.00237328,0.00321397
35,158.862,-30.2095,207.209,0.409007,0.00835748,-0.0292468,0.000504805,0.000735146,0.00171273,0.00343134,154.748,-29.098,146.588,0.316156,-0.120932,0.223595,0.000440858,0.000642536,0.00156527,0.00277367,154.12,-25.9317,88.9173,0.174059,-0.228065,0.112257,0.000388228,0.000574614,0.00144373,0.00221433,153.826,-29.4699,32.1244,0.0878992,-0.0240885,0.110158,0.000412992,0.000654952,0.00160377,0.00224126,4.55931,-16.8579,0.00151202,0.0005353,0.00568209,0.0137743,0.000942333,0.000997405,0.00236044,0.00319589
36,158.862,-30.2095,207.209,0.383183,0.0314582,-0.000124508,0.000518778,0.000753764,0.00175851,0.00351196,154.748,-29.098,146.588,0.297125,-0.113598,0.25951,0.000447909,0.000655249,0.00159675,0.00282732,154.12,-25.9317,88.9173,0.165688,-0.228405,0.142979,0.000356201,0.000528635,0.00132737,0.00203286,153.826,-29.4699,32.1244,0.0909315,-0.0278227,0.154836,0.000399605,0.00063033,0.00154411,0.00215533,4.55931,-16.8579,0.00151202,-0.000189894,0.00210915,0.00860754,0.000962606,0.00100019,0.00236463,0.00320759
37,158.862,-30.2095,207.209,0.456255,-0.0556181,-0.0484856,0.00050056,0.000735237,0.00171476,0.00342109,154.748,-29.098,146.588,0.347263,-0.18625,0.220696,0.000439943,0.000645144,0.00157223,0.00277951,154.12,-25.9317,88.9173,0.199406,-0.28173,0.0952514,0.000338988,0.000505866,0.00127092,0.00194109,153.826,-29.4699,32.1244,0.107888,-0.0539727,0.130354,0.000390975,0.000623254,0.00152792,0.00213271,4.55931,-16.8579,0.00151202,-9.33541e-05,0.00595589,0.0128375,0.000982576,0.00100111,0.00236644,0.00320854
38,158.862,-30.2095,207.209,0.23738,0.141471,0.134618,0.000485661,0.000714873,0.00166751,0.0033288,154.748,-29.098,146.588,0.191095,-0.0443485,0.406401,0.000435799,0.000634434,0.00154623,0.00273994,154.12,-25.9317,88.9173,0.109524,-0.185994,0.265616,0.000329677,0.000493728,0.00124094,0.00189613,153.826,-29.4699,32.1244,0.0811801,0.00102856,0.320955,0.000372489,0.000589188,0.00144633,0.00201621,4.55931,-16.8579,0.00151202,0.000387258,0.00157531,0.00791003,0.000956678,0.00099297,0.00234658,0.00318252
39,158.862,-30.2095,207.209,0.268844,0.0548166,0.110615,0.000491779,0.000720327,0.00168067,0.00335204,154.748,-29.098,146.588,0.21024,-0.113779,0.393189,0.000447829,0.000647777,0.00157816,0.00280238,154.12,-25.9317,88.9173,0.124744,-0.237033,0.238934,0.000344472,0.000514766,0.0012928,0.00197605,153.826,-29.4699,32.1244,0.0886068,-0.0234813,0.321302,0.000368844,0.000588262,0.00144431,0.00201609,4.55931,-16.8579,0.00151202,0.000525896,0.00409589,0.00968359,0.000939233,0.00100599,0.00237909,0.0032218
